row,original/Cor,original/Syn,original/Sem,pro/LLM_Cor,pro/LLM_Syn,pro/LLM_Sem,pro/OrigRep,pro/LLMRep,flash/LLM_Cor,flash/LLM_Syn,flash/LLM_Sem,flash/OrigRep,flash/LLMRep,lite/LLM_Cor,lite/LLM_Syn,lite/LLM_Sem,lite/OrigRep,lite/LLMRep
arr-NoConflict,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
balancedBST-Balanced,0,0,1,0,0,10,0/1,0/10,0,0,10,0/1,0/10,0,5,5,0/1,0/5
balancedBST-HasAtMostOneChild,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
balancedBST-Sorted,0,0,1,0,0,10,0/1,0/10,0,0,10,0/1,0/10,0,0,10,0/1,0/10
bempl-CanEnter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cd-Acyclic,0,0,1,0,0,10,0/1,7/10,0,1,9,0/1,3/9,0,1,9,0/1,3/9
cd-AllExtObject,0,0,1,0,0,10,1/1,10/10,0,0,10,1/1,9/10,0,1,9,1/1,8/9
cd-ClassHierarchy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cd-ObjectNoExt,0,0,1,0,0,10,1/1,10/10,0,0,10,1/1,9/10,0,1,9,1/1,9/9
dll-ConsistentPreAndNxt,0,0,1,0,0,10,1/1,10/10,0,0,10,1/1,10/10,0,0,10,1/1,8/10
dll-Sorted,0,0,1,0,0,10,1/1,7/10,0,0,10,1/1,8/10,0,0,10,1/1,8/10
dll-UniqueElem,0,0,1,0,0,10,1/1,9/10,0,0,10,1/1,8/10,0,1,9,1/1,9/9
farmer-crossRiver,0,0,1,0,0,10,0/1,0/10,0,3,7,0/1,2/7,2,3,5,0/1,0/5
grade-PolicyAllowsGrading,0,0,1,0,0,10,0/1,0/10,0,0,10,0/1,0/10,0,0,10,0/1,0/10
farmer-solvePuzzle,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
other-CanEnter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
student-Contains,0,0,1,0,0,10,0/1,0/10,0,1,9,0/1,0/9,0,1,9,0/1,7/9
student-Count,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
student-Loop,0,0,1,0,0,10,0/1,0/10,0,0,10,0/1,0/10,0,0,10,0/1,0/10
student-Sorted,0,0,1,0,1,9,1/1,9/9,0,0,10,1/1,10/10,0,0,10,1/1,10/10
Total,0,0,13,0,1,129,6/13,62/129,0,5,125,6/13,59/125,2,13,115,6/13,62/115
